id,student,task,solved,start,end,time_spent
2985,8924,66,True,2018-01-25T08:06:05.303156Z,2018-01-25T08:15:43.990525Z,578
2976,8921,14,True,2018-01-25T08:05:55.208324Z,2018-01-25T08:37:43.360035Z,1908
2929,8905,14,True,2018-01-25T08:04:24.963210Z,2018-01-25T08:09:12.253431Z,287
3026,8934,51,True,2018-01-25T08:06:47.493835Z,2018-01-25T08:16:48.817830Z,601
2959,8913,44,True,2018-01-25T08:05:36.878563Z,2018-01-25T10:33:24.365464Z,8867
3103,8890,8,True,2018-01-25T08:08:40.241689Z,2018-01-25T08:09:07.524136Z,27
3077,8924,25,True,2018-01-25T08:07:50.858543Z,2018-01-25T08:08:24.208571Z,33
2997,8887,8,True,2018-01-25T08:06:17.063382Z,2018-01-25T08:07:22.879098Z,65
3064,8901,12,True,2018-01-25T08:07:37.613447Z,2018-01-25T08:09:07.600095Z,89
2973,8919,2,True,2018-01-25T08:05:53.890492Z,2018-01-25T08:07:28.168505Z,94
3073,8945,44,True,2018-01-25T08:07:47.851978Z,2018-01-25T08:09:57.450544Z,129
3020,8904,79,True,2018-01-25T08:06:42.425372Z,2018-01-25T08:07:30.437135Z,48
3053,8901,49,True,2018-01-25T08:07:20.707063Z,2018-01-25T08:07:31.147501Z,10
3099,8889,8,True,2018-01-25T08:08:31.749001Z,2018-01-25T08:08:56.111163Z,24
3068,8868,12,True,2018-01-25T08:07:41.229887Z,2018-01-25T08:08:11.490113Z,30
3080,8876,6,True,2018-01-25T08:07:53.262315Z,2018-01-25T08:09:15.613765Z,82
3057,8868,14,True,2018-01-25T08:07:25.079800Z,2018-01-25T08:07:36.881194Z,11
3145,8883,3,True,2018-01-25T08:09:42.356018Z,2018-01-25T08:10:33.438541Z,51
3070,8938,26,True,2018-01-25T08:07:46.440902Z,2018-01-25T08:08:12.659417Z,26
3153,8888,31,True,2018-01-25T08:09:47.354021Z,2018-01-25T08:10:23.424154Z,36
2982,8923,44,True,2018-01-25T08:05:59.954439Z,2018-01-25T08:08:01.635094Z,121
3072,8907,8,True,2018-01-25T08:07:47.851108Z,2018-01-25T08:08:13.066195Z,25
